name,muscle_targeted,equipment_type
Seated Leg Curl,                              Hamstrings,                              Machine
Standing Barbell Press Behind Neck,                              Shoulders,                              Barbell
Close-Grip EZ-Bar Curl with Band,                              Biceps,                              E-Z Curl Bar
Alternating Kettlebell Row,                              Middle Back,                              Kettlebells
Single-arm side lying rear fly,                              Shoulders,                              Dumbbell
Cable shrug,                              Traps,                              Cable
Pallof press with rotation,                              Abdominals,                              Cable
Lying T-Bar Row,                              Middle Back,                              Other
Band Good Morning,                              Hamstrings,
Kneeling lat pull-down,                              Lats,                              Cable
Standing Bent-Over One-Arm Dumbbell Triceps Extension,                              Triceps,                              Dumbbell
Overhead squat,                              Quadriceps,
Pistol squat,                              Quadriceps,                              Body Only
Single-Leg Leg Extension,                              Quadriceps,
Lateral Raise - With Bands,                              Shoulders,                              Bands
Leverage High Row,                              Middle Back,                              Machine
Medicine ball slam,                              Lats,                              Medicine Ball
Single-arm dumbbell upright row,                              Shoulders,                              Dumbbell
Smith machine behind-the-back shrug,                              Traps,                              Machine
Leg-Up Hamstring Stretch,                              Hamstrings,                              Body Only
Walking High Knees,                              Quadriceps,                              Body Only
Kettlebell pirate ship,                              Shoulders,                              Kettlebells
Dumbbell Scaption,                              Shoulders,                              Dumbbell
Cable Wrist Curl,                              Forearms,                              Cable
Upright Row - With Bands,                              Traps,                              Bands
Suspended Reverse Crunch,                              Abdominals,                              Body Only
Lateral lunge,                              Quadriceps,                              Body Only
Close-Hands Push-Up,                              Chest,                              Body Only
Exercise ball hip thrust,                              Glutes,                              Exercise Ball
Barbell side split squat,                              Quadriceps,                              Barbell
See-Saw Press (Alternating Side Press),                              Shoulders,                              Dumbbell
Sumo Deadlift with Chains,                              Hamstrings,                              Barbell
Frog Sit-Ups,                              Abdominals,                              Mat
Kettlebell Windmill,                              Abdominals,                              Kettlebells
Seated Leg Press,                              Quadriceps,                              Machine
Straight-arm plank with biceps curl,                              Biceps,                              Dumbbell
Cable Deadlifts,                              Quadriceps,                              Cable
Board bench press,                              Chest,                              Barbell
Frankenstein Squat,                              Quadriceps,                              Barbell
Cable Seated Crunch,                              Abdominals,                              Cable
Kettlebell Figure 8,                              Abdominals,                              Kettlebells
Kettlebell Curtsy Lunge,                              Quadriceps,                              Kettlebells
Single Leg Butt Kick,                              Quadriceps,
Lying bench reverse crunch,                              Abdominals,                              Body Only
Side Leg Raises,                              Adductors,                              Body Only
Smith machine Bulgarian split squat,                              Quadriceps,                              Machine
Barbell speed squat,                              Quadriceps,                              Barbell
Circus Bell,                              Shoulders,                              Other
Suspended row,                              Middle Back,                              Other
Incline Bench Pull,                              Middle Back,                              Barbell
Around The Worlds,                              Chest,                              Dumbbells
Tiger-bend push-up,                              Chest,                              Body Only
Face-down incline dumbbell biceps curl,                              Biceps,                              Dumbbell
Kneeling Jump Squat,                              Glutes,                              Barbell
Jump Squat,                              Quadriceps,                              Body Only
Seated Head Harness Neck Resistance,                              Neck,                              Other
Shoulder Press - With Bands,                              Shoulders,                              Bands
Band-assisted pull-up,                              Lats,                              Bands
Barbell Bench Press-Wide Grip,                              Chest,                              Barbell
Barbell Seated Calf Raise,                              Calves,                              Barbell
Over bench jump,                              Quadriceps,                              Body Only
Single-arm side deadlift,                              Quadriceps,                              Barbell
Sit-up,                              Abdominals,                              Body Only
Side Bridge,                              Abdominals,                              Body Only
Two-Arm Kettlebell Clean,                              Shoulders,                              Kettlebells
Zottman Preacher Curl,                              Biceps,
Balance Board,                              Calves,                              Other
Split Jump,                              Quadriceps,                              Body Only
Plyo push-up,                              Chest,                              Body Only
Inchworm,                              Hamstrings,                              Body Only
Cable rope preacher hammer curl,                              Biceps,                              Cable
Vertical Swing,                              Hamstrings,                              Dumbbell
Seated Bent-Over One-Arm Dumbbell Triceps Extension,                              Triceps,                              Dumbbell
Double Kettlebell Push Press,                              Shoulders,                              Kettlebells
Lying oblique crunch,                              Abdominals,                              Body Only
Barbell front raise,                              Shoulders,                              Barbell
Weighted donkey calf raise,                              Calves,                              Other
Machine Triceps Extension,                              Triceps,                              Machine
Janda Sit-Up,                              Abdominals,                              Body Only
Sled push-,                              Hamstrings,                              Other
Seated Dumbbell Inner Biceps Curl,                              Biceps,                              Dumbbell
Close-grip hands-elevated push-up,                              Chest,                              Body Only
Barbell Squat To A Bench,                              Quadriceps,                              Barbell
Dumbbell Incline Shoulder Raise,                              Shoulders,                              Dumbbell
Standing Inner-Biceps Curl,                              Biceps,                              Dumbbell
Single-arm kettlebell swing,                              Hamstrings,                              Kettlebells
Pull Through,                              Glutes,                              Cable
Leg Pull-In,                              Abdominals,                              Body Only
Standing Leg Curl,                              Hamstrings,                              Machine
Isometric Neck Exercise - Sides,                              Neck,                              Body Only
Lying cable chest fly,                              Chest,                              Cable
Single-arm pull-down,                              Lats,                              Machine
Side Jackknife,                              Abdominals,                              Body Only
Dumbbell Walking Lunge,                              Quadriceps,                              Dumbbell
Lateral hop,                              Adductors,                              Body Only
Suspended push-up,                              Chest,                              Body Only
Two-Arm Kettlebell Row,                              Middle Back,                              Kettlebells
One Arm Floor Press,                              Triceps,                              Barbell
Kettlebell Pass Between The Legs,                              Abdominals,                              Kettlebells
Wide-Grip Decline Barbell Pullover,                              Chest,                              Barbell
Feet-elevated crunch,                              Abdominals,                              Exercise Ball
Smith machine upright row,                              Traps,                              Machine
Smith Machine Decline Press,                              Chest,                              Machine
Smith Machine Reverse Calf Raises,                              Calves,                              Machine
Moving Claw Series,                              Hamstrings,                              Body Only
Single-dumbbell push-up,                              Chest,                              Dumbbell
Front Cone Hops (or hurdle hops),                              Quadriceps,                              Other
Overhead bar front raise,                              Shoulders,                              Barbell
Single-arm Smith machine upright row,                              Shoulders,                              Machine
Weighted Squat,                              Quadriceps,                              Other
Dumbbell Seated One-Leg Calf Raise,                              Calves,
Cable Incline Pushdown,                              Lats,                              Cable Machine
Hip Extension with Bands,                              Glutes,                              Bands
Kipping Muscle Up,                              Lats,                              Body Only
Machine Lateral Raise,                              Shoulders,                              Machine
Ankle Circles,                              Calves,                              None
Reverse Plate Curls,                              Biceps,                              Other
Clean Pull,                              Quadriceps,                              Barbell
Push Up to Side Plank,                              Chest,                              Body Only
Lying Close-Grip Bar Curl On High Pulley,                              Biceps,                              Cable
Behind-the-neck pull-down,                              Lats,                              Cable
Isometric Chest Squeezes,                              Chest,                              Body Only
Seated leg tuck,                              Abdominals,
Standing Biceps Stretch,                              Biceps,                              Other
Incline cable straight-bar triceps extension,                              Triceps,                              Cable
Groin and Back Stretch,                              Adductors,                              None
Bench skip,                              Quadriceps,                              Other
Scissor Kick,                              Abdominals,                              Body Only
Smith machine pistol squat,                              Quadriceps,                              Machine
Wide-Stance Leg Press,                              Quadriceps,
Dumbbell Squat To A Bench,                              Quadriceps,                              Dumbbell
Kettlebell Seated Press,                              Shoulders,                              Kettlebells
Floor rope climb,                              Lats,                              Other
Smith machine stiff-legged deadlift,                              Hamstrings,                              Machine
Single-arm kettlebell overhead squat,                              Quadriceps,                              Kettlebells
Barbell Side Bend,                              Abdominals,                              Barbell
Double Kettlebell Jerk,                              Shoulders,                              Kettlebells
90-degree jump squat,                              Quadriceps,                              Body Only
Pin Presses,                              Triceps,                              Barbell
Backward Drag,                              Quadriceps,                              Other
Toe Touchers,                              Abdominals,                              Body Only
Alternate Leg Diagonal Bound,                              Quadriceps,                              None
Landmine Linear Jammer,                              Shoulders,                              Other
Sled Push,                              Quadriceps,                              Other
Clean Shrug,                              Traps,                              Barbell
Backward Medicine Ball Throw,                              Shoulders,                              Medicine Ball
Kettlebell Arnold Press,                              Shoulders,                              Kettlebells
Barbell squat with plate slide,                              Quadriceps,                              Other
Monster Walk,                              Abductors,                              Body Only
Upward Stretch,                              Shoulders,                              Body Only
Barbell Guillotine Bench Press,                              Chest,                              Barbell
Standing Toe Touches,                              Hamstrings,
Shoulder Circles,                              Shoulders,                              Body Only
Lying groin stretch with band,                              Hamstrings,                              Body Only
Standing Hamstring and Calf Stretch,                              Hamstrings,                              Bands
Side-to-side push-up,                              Chest,                              Body Only
Piriformis SMR,                              Glutes,                              Foam Roll
Scapular Pull-Up,                              Traps,                              None
Cable Seated Lateral Raise,                              Shoulders,                              Cable
Lower Back Curl,                              Abdominals,                              Body Only
One-Arm Flat Bench Dumbbell Flye,                              Chest,                              Dumbbell
Suspended split squat,                              Quadriceps,                              Other
Incline barbell shoulder protraction,                              Shoulders,                              Barbell
Behind-the-head push-press,                              Shoulders,                              Barbell
Straight Bar Bench Mid Rows,                              Middle Back,                              Barbell
Standing hip extension,                              Glutes,                              Body Only
Standing Towel Triceps Extension,                              Triceps,                              Body Only
Weighted Ball Side Bend,                              Abdominals,                              Exercise Ball
Isometric Neck Exercise - Front And Back,                              Neck,                              Body Only
Atlas Stone Trainer,                              Lower Back,                              Other
Peroneals-SMR,                              Calves,                              Body Only
Inverted Row with Straps,                              Middle Back,                              Other
Extended Range One-Arm Kettlebell Floor Press,                              Chest,                              Kettlebells
Bent Press,                              Abdominals,                              Kettlebells
Lying Hamstring,                              Hamstrings,                              Other
Knee Circles,                              Calves,                              Body Only
Dumbbell Tricep Extension -Pronated Grip,                              Triceps,                              Dumbbell
One Arm Chin-Up,                              Middle Back,                              Other
Intermediate Hip Flexor and Quad Stretch,                              Quadriceps,                              Other
Snatch Shrug,                              Traps,                              Barbell
Seated Dumbbell Palms-Up Wrist Curl,                              Forearms,                              Dumbbell
Barbell seal row,                              Middle Back,                              Barbell
Sit Squats,                              Quadriceps,                              None
Crucifix,                              Shoulders,                              Other
Calf SMR,                              Calves,                              Foam Roll
Kettlebell alternating floor press,                              Chest,                              Kettlebells
Hip Lift with Band,                              Glutes,                              Bands
Forward Drag with Press,                              Chest,                              Other
Medicine Ball Chest Pass,                              Chest,                              Medicine Ball
Lying hamstring stretch with band,                              Hamstrings,                              None
Cross-body shoulder stretch,                              Shoulders,                              Body Only
One Arm Against Wall,                              Lats,                              Body Only
Catch and Overhead Throw,                              Lats,                              Medicine Ball
Smith Machine Hang Power Clean,                              Hamstrings,
Lying High Bench Barbell Curl,                              Biceps,                              Barbell
Squats - With Bands,                              Quadriceps,                              Bands
Dynamic chest stretch,                              Chest,
Rhomboids SMR,                              Middle Back,                              Body Only
Neck Bridge Prone,                              Neck,                              Body Only
Chain Press,                              Chest,                              Other
Standing Gastrocnemius Calf Stretch,                              Calves,                              Body Only
Skip,                              Quadriceps,                              Body Only
Hamstring-SMR,                              Hamstrings,                              Foam Roll
Bench Press - With Bands,                              Chest,                              Bands
Tricep Side Stretch,                              Triceps,                              Body Only
Kneeling hip flexor stretch,                              Quadriceps,                              Body Only
Hug A Ball,                              Lower Back,                              Body Only
Quadriceps SMR,                              Quadriceps,                              Foam Roll
Upper Back-Leg Grab,                              Hamstrings,                              None
Dancer's Stretch,                              Lower Back,                              None
Elbow Circles,                              Shoulders,                              None
Wall calf stretch,                              Calves,                              Body Only
Spinal Stretch,                              Middle Back,                              Body Only
Front Barbell Squat To A Bench,                              Quadriceps,                              Barbell
Anterior Tibialis-SMR,                              Calves,                              Other
Child's pose,                              Lower Back,                              Body Only
Kettlebell Dead Clean,                              Hamstrings,                              Kettlebells
Partner farmer's walk,                              Forearms,                              Dumbbell
Seated Hamstring,                              Hamstrings,                              None
Bar shoulder extension stretch,                              Shoulders,                              Other
Kneeling Forearm Stretch,                              Forearms,                              None
Iron Crosses (stretch),                              Quadriceps,                              Body Only
Seated Floor Hamstring Stretch,                              Hamstrings,                              Mat
Arm circle,                              Shoulders,                              Body Only
Pelvic Tilt Into Bridge,                              Lower Back,                              Body Only
Seated Biceps,                              Biceps,                              Body Only
90/90 Hamstring,                              Hamstrings,                              Body Only
All Fours Quad Stretch,                              Quadriceps,                              Body Only
Cable Judo Flip,                              Abdominals,                              Cable
Exercise ball torso rotation,                              Abdominals,                              Body Only
Lying quad stretch with band,                              Quadriceps,                              Body Only
Cat Stretch,                              Lower Back,                              None
Calf Stretch Elbows Against Wall,                              Calves,                              None
Behind Head Chest Stretch,                              Chest,                              Other
Alternating Hang Clean,                              Hamstrings,                              Kettlebells
Calf Raises - With Bands,                              Calves,                              Bands
Calf Raise On A Dumbbell,                              Calves,                              Dumbbell
Lying glute stretch,                              Glutes,                              Body Only
Triceps Stretch,                              Triceps,                              Body Only
Side Neck Stretch,                              Neck,                              Body Only
Elbows Back,                              Chest,                              None
Dynamic Back Stretch,                              Lats,                              None
Seated bar twist,                              Abdominals,                              Barbell
One Half Locust,                              Quadriceps,                              Body Only
Latissimus dorsi SMR,                              Lats,                              Foam Roll
Seated Overhead Stretch,                              Abdominals,                              Body Only
Seated Front Deltoid,                              Shoulders,                              Body Only
Lower back SMR,                              Lower Back,                              Foam Roll
Hug Knees To Chest,                              Lower Back,                              Body Only
World's greatest stretch,                              Hamstrings,                              Body Only
Standing Hip Flexors,                              Quadriceps,                              Body Only
The Straddle,                              Hamstrings,                              Body Only
Looking At Ceiling,                              Quadriceps,                              Body Only
Standing Soleus And Achilles Stretch,                              Calves,                              None
Upper Back Stretch,                              Middle Back,                              Body Only
Alternating lunge jump,                              Hamstrings,                              None
Chair Upper Body Stretch,                              Shoulders,                              Other
Seated Calf Stretch,                              Calves,                              Body Only
Shoulder Raise,                              Shoulders,                              Body Only
Downward Facing Balance,                              Glutes,                              Exercise Ball
Kneeling Arm Drill,                              Shoulders,                              None
Adductor SMR,                              Adductors,                              Foam Roll
Crossover Reverse Lunge,                              Lower Back,                              None
Overhead Stretch,                              Abdominals,                              Body Only
Frog Hops,                              Quadriceps,                              None
Side Lying Groin Stretch,                              Adductors,                              Body Only
Chin To Chest Stretch,                              Neck,
Middle Back Stretch,                              Middle Back,                              Body Only
Runner's Stretch,                              Hamstrings,                              None
One Handed Hang,                              Lats,                              Body Only
Exercise ball chest stretch,                              Chest,                              Exercise Ball
Adductor/Groin,                              Adductors,                              None
Knee Across The Body,                              Glutes,                              Body Only
Rear Leg Raises,                              Quadriceps,                              Body Only
Medicine ball scoop throw,                              Shoulders,                              Medicine Ball
Overhead Triceps,                              Triceps,                              Body Only
Peroneals Stretch,                              Calves,                              Bands
On Your Side Quad Stretch,                              Quadriceps,                              Body Only
On-Your-Back Quad Stretch,                              Quadriceps,                              Body Only
Chair Lower Back Stretch,                              Lats,                              None
Standing side bend stretch,                              Lats,                              Body Only
Brachialis SMR,                              Biceps,                              Foam Roll
Seated Glute,                              Glutes,                              Body Only
Standing Pelvic Tilt,                              Lower Back,                              None
Double-kettlebell windmill,                              Shoulders,                              Kettlebells
Lying Glute,                              Glutes,                              Body Only
Pass-through stretch with band,                              Chest,                              Other
Lying Bent Leg Groin,                              Adductors,                              Other
Neck-SMR,                              Neck,                              Body Only
Foot-SMR,                              Calves,                              Other
One Knee To Chest,                              Glutes,                              Body Only
Standing Elevated Quad Stretch,                              Quadriceps,                              Body Only
Wrist Circles,                              Forearms,                              Body Only
Chair Leg Extended Stretch,                              Hamstrings,                              Other
IT Band and Glute Stretch,                              Abductors,                              Body Only
Single-leg lying cross-over stretch,                              Abductors,                              Body Only
Side-Lying Floor Stretch,                              Lats,                              None
Posterior Tibialis Stretch,                              Calves,                              Bands
Overhead Lat,                              Lats,                              Other
Pyramid,                              Lower Back,                              Body Only
Sled Drag - Harness,                              Quadriceps,                              Other
Burpee over barbell,                              Quadriceps,                              Other
Medicine ball rotational throw,                              Abdominals,                              Medicine Ball
Medicine ball sprawl to chest press,                              Chest,                              Medicine Ball
Bosu Ball Crunch,                              Abdominals,                              Bosu Ball
Dumbbell Overhead Squat,                              Quadriceps,                              Dumbbells
Front Squat Push Press,                              Quadriceps,                              Barbell
Single-arm half-kneeling shoulder press,                              Shoulders,                              Dumbbell
Hand Stand Push-Up,                              Shoulders,                              Body Only
Weighted Push-Up,                              Chest,                              Other
Wall walk,                              Shoulders,                              Body Only
Dumbbell walking lunge-,                              Quadriceps,                              Other
Suitcase crunch,                              Abdominals,                              Other
Seated Scissor Kick,                              Abdominals,                              Body Only
Sled Reverse Flye,                              Shoulders,                              Other
Dumbbell thruster,                              Quadriceps,                              Dumbbell
Thigh killa,                              Quadriceps,                              Body Only
Sumo Deadlift with Bands,                              Hamstrings,                              Barbell
Partner Facing Feet-Elevated Side Plank With Band Row,                              Middle Back,                              Bands
Barbell reverse lunge,                              Quadriceps,                              Barbell
One-Arm Kettlebell Floor Press,                              Chest,                              Kettlebells
Prone Manual Hamstring,                              Hamstrings,                              Body Only
Suspended Leg Curl,                              Hamstrings,                              Other
Single-Leg Box Jump,                              Quadriceps,                              Other
Hollow-hold ball toss,                              Abdominals,                              Medicine Ball
Southpaw sprawl,                              Quadriceps,                              Body Only
Conan's Wheel,                              Quadriceps,                              Other
JM Press With Bands,                              Triceps,                              Barbell
Kettlebell side squat,                              Quadriceps,                              Kettlebells
Single-Leg Hop Progression,                              Quadriceps,                              Other
Partner resistance standing twist,                              Abdominals,                              Body Only
Rickshaw Deadlift,                              Quadriceps,                              Other
Burpee to pull-up,                              Lats,                              Body Only
Return Push from Stance,                              Shoulders,                              Body Only
Barbell pull-over to press,                              Lats,                              Barbell
Stride Jump Crossover,                              Quadriceps,                              Body Only
Typewriter push-up,                              Chest,                              Body Only
Feet Jack,                              Quadriceps,                              Body Weight
Wall shoulder tap,                              Shoulders,                              Body Only
Rack Delivery,                              Shoulders,                              Barbell
Cross Crunch,                              Abdominals,                              Body Only
Dumbbell suitcase carry,                              Forearms,                              Dumbbell
Dumbbell front squat,                              Quadriceps,                              Dumbbell
Carioca quick step,                              Adductors,                              Body Only
Split Clean,                              Quadriceps,                              Barbell
Single-cone sprint drill,                              Quadriceps,                              Other
Heavy Bag Thrust,                              Chest,                              Other
Diamond push-up,                              Chest,                              Body Only
Single-Leg Stride Jump,                              Quadriceps,                              Other
Side Standing Long Jump,                              Quadriceps,                              Body Only
Dumbbell lateral hop to sprint,                              Quadriceps,                              None
Plate shoulder circle big to small,                              Shoulders,                              Other
Close-stance dumbbell front squat,                              Quadriceps,                              Barbell
One-Arm Kettlebell Split Snatch,                              Shoulders,                              Kettlebells
Front Squat (Clean Grip),                              Quadriceps,                              Barbell
Wall squat,                              Quadriceps,                              Body Only
Suspended Curl,                              Biceps,                              Other
Hip Flexion with Band,                              Quadriceps,                              Bands
Reverse Band Deadlift,                              Lower Back,                              Barbell
Sled Row,                              Middle Back,                              Other
Leg-Over Floor Press,                              Chest,                              Kettlebells
Full Moon,                              Abdominals,                              Body Only
Good Morning off Pins,                              Hamstrings,                              Barbell
Barbell front squat to back squat,                              Quadriceps,                              Barbell
Slide Jump Shot,                              Quadriceps,                              Body Only
Sprawl frog kick,                              Quadriceps,                              Body Only
One-Arm Kettlebell Para Press,                              Shoulders,                              Kettlebells
Bear crawl shoulder tap,                              Shoulders,                              Body Only
Lateral Speed Step,                              Quadriceps,                              Body Only
Squat Jerk,                              Quadriceps,                              Barbell
One-Arm Open Palm Kettlebell Clean,                              Hamstrings,                              Kettlebells
Barbell Front-To-Back Squat,                              Quadriceps,                              Barbell
Knee To Chest,                              Hamstrings,                              Body Only
Single-Arm Dumbbell Overhead Squat,                              Quadriceps,                              Dumbbell
Trap Bar Jump,                              Quadriceps,                              Other
Side Hop-Sprint,                              Quadriceps,                              Body Only
External Rotation with Band,                              Shoulders,                              Bands
Judo push-up,                              Chest,                              Body Only
Decline Explosive Push-Up,                              Chest,                              Other
Forward Band Walk,                              Quadriceps,                              Bands
Stiff-Legged Deadlift,                              Hamstrings,                              Barbell
Single-Leg Lateral Hop,                              Quadriceps,                              Other
Bench Press With Short Bands,                              Chest,                              Bands
Plate hammer curl,                              Biceps,                              Other
Open Palm Kettlebell Clean,                              Hamstrings,                              Kettlebells
Sled Overhead Backward Walk,                              Shoulders,                              Other
Bosu Ball Push-Up,                              Chest,                              Exercise Ball
Pop squat,                              Quadriceps,                              Body Only
Box Skip,                              Hamstrings,                              Other
Box Squat with Chains,                              Quadriceps,                              Barbell
Smith Incline Shoulder Raise,                              Shoulders,                              Barbell
Seated Glute Stretch,                              Glutes,                              Body Only
Superman Push-Up,                              Chest,                              Body Only
Snatch from Blocks,                              Quadriceps,                              Barbell
V-sit with overhead triceps extension,                              Triceps,                              Dumbbell
Wide push-up,                              Chest,                              Body Only
JM Press,                              Triceps,                              Barbell
One-Arm Kettlebell Split Jerk,                              Shoulders,                              Kettlebells
Yates Row,                              Middle Back,                              Barbell
Tall Muscle Snatch,                              Shoulders,                              Barbell
Log Lift,                              Shoulders,                              Other
Kettlebell Seesaw Press,                              Shoulders,
Glute Bridge Hamstring Walkout,                              Glutes,
Around-the-world pull-up,                              Lats,                              Other
Partner front Russian twist and pass,                              Abdominals,                              Medicine Ball
Power Stairs,                              Hamstrings,                              Other
Kettlebell sumo squat,                              Quadriceps,                              Kettlebells
Star Jump,                              Quadriceps,                              Body Only
Medicine ball push-up,                              Chest,                              Medicine Ball
Sled Overhead Triceps Extension,                              Triceps,                              Other
Sit-up with single-arm overhand throw,                              Abdominals,                              Medicine Ball
Standing hip circle,                              Abductors,                              Body Only
One-Arm Kettlebell Military Press To The Side,                              Shoulders,                              Kettlebells
Side Lunge Touching Heel,                              Quadriceps,                              Body Only
One-Arm Kettlebell Jerk,                              Shoulders,                              Kettlebells
Medicine ball partner twist,                              Abdominals,                              Medicine Ball
Dumbbell lateral hop,                              Quadriceps,                              Dumbbell
Snatch Pull,                              Hamstrings,                              Barbell
Lying Prone Quadriceps,                              Quadriceps,                              Body Only
Hanging knee raise with manual resistance,                              Abdominals,                              Body Only
Axle Clean And Press,                              Shoulders,                              Barbell
Double Kettlebell Snatch,                              Shoulders,                              Kettlebells
Dumbbell lunge with biceps curl,                              Quadriceps,                              Dumbbell
Hurdle Hops,                              Hamstrings,                              Body Only
Kettlebell 3-point leg extension,                              Abdominals,                              Kettlebells
Russian Bar Dip,                              Triceps,                              Body Only
Floor Press with Chains,                              Triceps,                              Barbell
Body Triceps Press Using Flat Bench,                              Triceps,                              Other
Straight-Legged Hip Raise,                              Abdominals,                              Body Only
Lateral cone hop,                              Adductors,                              Body Only
One-Arm Push-Up,                              Chest,                              Body Only
Fast Kick With Arm Circles,                              Quadriceps,                              Body Only
Power Snatch from Blocks,                              Quadriceps,                              Barbell
Dumbbell Pistol Squat,                              Quadriceps,                              Dumbbell
Wall mountain climber,                              Abdominals,                              Body Only
Seated Hamstring and Calf Stretch,                              Hamstrings,                              Other
Burpee Box-Jumps,                              Quadriceps,                              Other
Suspended Chest Fly,                              Chest,                              Other
Single-leg box squat,                              Quadriceps,                              Body Only
Jerk Balance,                              Shoulders,                              Barbell
Defensive Slide,                              Quadriceps,                              Body Only
Front Squat (Bodybuilder),                              Quadriceps,                              Barbell
Partner Flat-Bench Back Extension,                              Lower Back,                              Other
Quick Leap,                              Quadriceps,                              Body Only
Skin The Cat To Push-Up,                              Abdominals,                              Body Only
Suspended Triceps Press,                              Triceps,                              Other
Standing suspended rear delt fly,                              Shoulders,                              Other
Sandbag Load,                              Quadriceps,                              Other
Partner Superman with alternating high-five,                              Lower Back,                              Body Only
Partner lying leg raise with lateral throw down,                              Abdominals,                              Body Only
Partner plank with high-five,                              Abdominals,
Kettlebell Hang Clean,                              Hamstrings,                              Kettlebells
Dumbbell Squat Snatch,                              Quadriceps,                              Dumbbell
Clapping Push-Up,                              Chest,                              Body Only
Suspended Hip Thrust,                              Glutes,                              Other
Svend press,                              Chest,                              Other
Hanging Bar Good Morning,                              Hamstrings,                              Barbell
Vertical Mountain Climber,                              Quadriceps,                              Body Only
Barbell step-down reverse lunge,                              Quadriceps,                              Barbell
Split Squat With Kettlebells,                              Quadriceps,
Standing Two-Arm Overhead Throw,                              Shoulders,                              Medicine Ball
Double Kettlebell Alternating Hang Clean,                              Hamstrings,                              Kettlebells
Keg Load,                              Lower Back,                              Other
Reverse Burpee,                              Quadriceps,                              Body Only
Football Up-Down,                              Quadriceps,                              Body Only
Waiter's carry,                              Shoulders,                              Other
Shadow boxing,                              Shoulders,                              Body Only
Dumbbell Clean And Jerk,                              Shoulders,                              Dumbbell
Kettlebell thruster progression,                              Quadriceps,                              Kettlebells
Hip Stretch With Twist,                              Hamstrings,                              Body Only
Linear 3-Part Start Technique,                              Hamstrings,                              Body Only
Chest Push (single response),                              Chest,                              Medicine Ball
Jump lunge heel kick,                              Quadriceps,                              Body Only
Partner side plank band row,                              Middle Back,                              Bands
